symptom,cnt
depressed mood,1945227
suicidal ideation,1748758
low energy (fatigue),1279149
decrease concentration,1212720
insomnia or hypersomnia,1199039
worthlessness or guilt,1158294
anhedonia or reduced interest,1097530
client with a history of relapse,920945
Unsupportive Environment for sobriety,878975
unstable vitals (autonomic hyperactivity),868321
client mandated to have treatment,820944
signs of withdrawal,809985
homocidal or violent ideation,803483
tolerance - need for increasing amount,770279
psychomotor agitation or retardation,724227
"Anemia, unspecified",717851
decreased concentration,688766
unsuccessful efforts to cut down or cravings,674092
Severe Physical Problems,663296
continued despite knowledge of adverse effects,646667
Hepatitis C,617366
HIV/AIDS,614351
exposure to a traumatic event,614118
Tuberculosis,613667
Hepatitis B,613654
Hepatitis A,613619
insomnia,590387
"substantial time spent obtaining, using or using the substance",582210
easily distracted by extraneous stimuli,578101
substance taken in larger amounts than intended,559347
distractible,538559
important activities are given up because of substance use,536147
hypervigilance,529360
response to traumatic event intense fear/helplessness,524474
withdrawal - characteristic withdrawal or taken to avoid symptoms,513929
more talkative,507383
avoid thoughts feeling or conversations,504531
flight of ideas,496279
often does not seem to listen when spoken to directly,470838
psychological distress at cues that symbolize trauma,470298
often fails to give close attention to details,469325
often fails to finish tasks,460166
recurrent dreams/nightmares reliving trauma- flashbacks,458957
often has difficulty organizing tasks/activities,451271
irritability,446367
significant weight gain or significant weight loss,439302
often fidgets with hands/feet,437692
detachment from others,435660
decreased need for sleep,429444
recurrent/distressing event recollection,428033
often interrupts or intrudes on others,425713
often has difficulty sustaining attention in play activities,425351
avoid activities places or people,404158
re-experiencing of event (flashbacks),394761
recognizes treatment need,392322
poor concentration,391320
often forgetful in daily activities,389921
often has difficulty awaiting turn,389543
physiological arousal to cues about event,387587
dislikes/reluctant to engage in tasks requiring sustained mental effort,385862
often inappropriately leaves seat,378396
exaggerated startle response,374446
"restlessness, keyed up, on edge",365821
restricted range of affect,360257
often blurts out answers,352108
often talks excessively,348934
often on the go/acts as if driven by a motor,348222
decreased interest or participation in activities,342618
hallucinations,339969
inflated self-esteem/grandiosity,330400
often loses things necessary for tasks/activities,326166
excessive anxiety and worry,325474
"insomnia, difficulty falling or staying asleep",312019
consumption of large quantities,311734
often loses temper,309276
often argues with adults,306979
often has difficulty playing or engaging in leisure activities quietly,304160
easily fatigued,303170
often actively defies requests/rules,302953
"negative symptoms (affective flattening, alogia, avolition)",291988
often runs about or climbs excessively in inappropriate situations,291169
excessive involvement pleasurable activities,289865
recurrent substance use relating to legal problems,289787
auditory hallucinations,288946
acknowledges problems,283560
delusions,271250
social or interpersonal problems caused by continued use,266855
maladaptive pattern of alcohol use,264572
"difficult to control anxiety, worry, apprehension about a number of events or activities",261224
increase in goal-directed activity,257876
often angry and resentful,253887
often touchy/easily annoyed by others,248652
often blames others for his/her mistakes/behavior,233477
disorganized speech,229410
shortness of breath,225933
muscle tension,219087
maladaptive pattern of substance use,209912
enduring deviation of interpersonal functioning,206324
recurrent substance use in hazardous situation,200702
paranoid delusions,199330
"enduring deviation of affective range, intensity, liability or appropriateness",197330
visual hallucinations,197017
enduring deviation of impulse control,194549
sense of foreshortened future,188958
"trembling, shaking",188570
"palpitations, pounding heart",183795
often deliberately annoys people,181566
larger amounts consumed than intended,175386
accepts the need for complete abstinence,174294
"failure to fulfill obligation at home, school or work",171227
"enduring cognitive deviation of perception, interpretation of self, others, events",170168
"significant impairment in functioning (academic, occupation, social)",168957
continued use despite interpersonal problem,168790
distractibility,163709
worry,154430
sweating,151253
amnesia about event,150414
deficits in social/interpersonal skills,150178
affective instability,150124
fighting,146657
anxiety,144889
maladaptive pattern of cannabis use,143624
low self-esteem,143258
internal motivation for wellness,142235
chest pain or discomfort,139622
often spiteful or vindictive,135224
Probation,133436
behaviors are aimed at preventing distress,131877
"recurrent intrusive impulses, thoughts, or images",131763
psychotic features,131716
"fear of losing control, or going crazy",130244
