symptom,cnt,cluster
suicidal thoughts not present,10,0
must register as a sex offender or violent offender,1,0
suicidal thoughts no plan,5,0
racing thoughts  mania psychiatric signs and symptoms,1,0
violent homicidal plan,25,0
violent thoughts no plan,28,0
thoughts of death  depression psychiatric signs and symptoms,2,0
violent homicidal intent,4,0
thoughts about needing to know or remember,33,0
thoughts about colors with special meaning,33,0
suicidal ideatio,1,0
violent thoughts no plan,1,0
violent thoughts no intent,1,0
violent thoughts not present,6,0
suicidal intent  depression psychiatric signs and symptoms,5,0
suicidal thoughts no intent,1,0
thoughts about sexual behavior toward others,35,0
suicidal thoughts no plan,446,1
suicidal thoughts with intent,552,1
no suicidal ideation,501,1
suicidal gestures,173,1
suicidal thoughts no intent,1142,1
no suicidal ideation,33,1
suicidal thoughts present,632,1
no suicidal ideation,185,1
suicidal thoughts with plan,1128,1
forget faces of people,107,2
forget directions,103,2
forget schooling,6,2
forget names of people,172,2
forget learned material,475,2
forget food cooking,17,2
difficulty initiating projects,7151,3
suspect other are deceiving  exploiting  harming,7366,3
difficulty falling or staying asleep,9048,3
used a weapon,4,3
used a weapon that can cause serious physical harm,20268,3
difficulty disagreeing with others for fear of disapproval,9366,3
abnormal positioning of muscles limb,3,4
sexual arousal symptoms,86,4
decreased respiration,37,4
abnormal speech fluency,6,4
decreased interest  or participation in activities,41,4
sexual dysfunction,41,4
decreased blood pressure,8,4
other sexual symptom,46,4
sexual identity disturbance,55,4
decreased sexual fantasy,47,4
sexual indifference,37,4
other sexual abuse,108,4
sexual orientation problems,91,4
decreased libido  depression psychiatric signs and symptoms,8,4
sexual aversion symptoms,96,4
abnormal spasms of muscles head,6,4
fear of gaining weight  eating disorders signs and symptoms,6,5
macroglossia,6,5
fear of losing ones mind,11,5
fear and anxiety avoidance  of receiving an injection,10,5
premature ejaculation causes significant distress or interpersonal difficulty,2,5
vaginismus causes significant distress or interpersonal difficulty,2,5
fear is marked  persistent and excessive,22,5
fear avoidance of abandonment  personality disorder cluster b signs and symptoms,20,5
fear of confiding fears information will be used against them  personality disorder cluster a signs,20,5
fear of stealing things,18,5
fear of becoming fat  eating disorders signs and symptoms,6,5
exposure,234,6
exposure to alcohol and or drugs in home environment,248,6
hiv exposure,217,6
exposure to hostility,6,6
exposure to alcohol and or drugs in peer environment,435,6
exposure to an std,153,6
hiv exposure,25,6
no exposure to trauma,136,6
risk factors for hiv,121,6
hiv infection,8,6
exposure to trauma  murder,201,6
exposure to trauma  threat to body image,548,6
exposure to an std,8,6
no risk factors for hiv,116,6
exposure to trauma,960,6
exposure to trauma  other,186,6
hallucinations,339969,7
persistent auditory hallucinations,27702,7
auditory hallucinations of multiple voices,2836,7
hypnagogic hallucinations,471,7
visual hallucinations,197017,7
auditory command hallucinations,4226,7
auditory hallucinations unspecified,3891,7
auditory hallucinations of multiple voice,1377,7
auditory hallucinations threatening,1642,7
tactile hallucinations of bugs crawling,231,7
tactile hallucinations unspecified,566,7
hypnopompic hallucinations,234,7
auditory hallucinations,288946,7
fatigue,34024,8
boredom,8439,8
daytime fatigue,17301,8
daytime sleepiness,10921,8
boundless energy,325,8
increased appetite,9906,8
gas,36,8
increased sweating,76453,8
low self esteem,143258,8
sweating,151253,8
obsessions or compulsions take more t than   hour a day,984,8
exhaustion,254,8
increased energy,13286,8
low energy  fatigue ,1279149,8
increased tension before pulling out one s hair,4467,8
abuse of laxatives,177,9
child with disabilities,315,9
perpetrator of bullying,179,9
child protective services  cyfd  involvement,3882,9
child neglect,434,9
child protective services  cps  involvement,401,9
child unsafe in home school neighborhood,248,9
other abuse of a child,310,9
abuse of elderly parent,222,9
other neglect of a child,1441,9
perpetrator of abuse,237,9
neglect of child,547,9
lack of insight,3020,10
lack of transportation,6722,10
lack of close friends,5517,10
lack of job opportunity,3860,10
lack of age appropriate peer relationships,4022,10
lack of education,2364,10
lack of reactivity,3702,10
lack of positive role model,4035,10
lack of social interaction,6264,10
lack of recovery based social group,8867,10
lack of vocational skills,3254,10
lack of empathy  unwilling to identify with feelings of others needs,4290,10
significant other not supportive,1555,11
significant other threatened by recovery,1139,11
lost weight,490,11
pathological denial,459,11
affective flattening  reduced emotional expression ,6155,11
denial of seriousness of current low body weight,515,11
weight loss      lbs ,2528,11
loss of interest  pervasive,4709,11
enemas to prevent weight gain,2178,11
refused to maintain body weight,363,11
denial,354,11
affective blunting,103,11
some evidence of mild antisocial or narcissistic behavior,202,12
evidence that alcohol is the etiology of disturbance,81,12
evidence that etiology is due to the persisting effects of amphetamine,83,12
evidence of feelings of worthlessness or inappropriate guilt in play or direct expression ,168,12
evidence that etiology is due to the persisting effects of cannabis,61,12
evidence that the etiology is due to alcohol withdrawal,80,12
evidence that the etiology is due to inhalant intoxication,32,12
remarriage of parent causing problems,2,12
evidence that opioid is the etiology of disturbance,73,12
evidence that the etiology is due to the persisting effects of opioid,3,12
evidence that cocaine is the etiology of disturbance,55,12
evidence that the etiology is due to alcohol,8,12
parent child problem,75,12
evidence that etiology is due to the persisting effects of opioid,72,12
unknown if environmental problems,137,13
unknown if marital problems,311,13
unknown if housing problems,159,13
unknown if family problems,190,13
unknown if developmental problems,84,13
unknown if financial stressors,68,13
unknown if legal problems,64,13
parent where abouts unknown,99,13
unknown if academic problems,101,13
unknown if occupational problems,178,13
unknown if neonatal problems,276,13
unknown if relationship problems,174,13
long term goals unknown,48,13
mismatch between sleep wake cycle and circadian sleep wake pattern,418,14
can t sleep,225,14
daytime naps,413,14
sleep talking,634,14
daytime sleep episodes,479,14
can t get to sleep,569,14
sleep walking,616,14
sleep disorder,192,14
sleep terror  no recall of nightmare,453,14
sleep disruption leading to hypersomnia,677,14
rem sleep behavior disorder,354,14
prolonged sleep episodes,668,14
repeatedly collecting things,204,15
doing things to prevent harming yourself,41,15
vicodine,40,15
lose things  ex  wallet  keys ,53,15
avolition,229,15
repeatedly bothered by certain sounds or noises,51,15
doing things to prevent terrible things happening,289,15
terrible occurrences if things are not just right,302,15
repeatedly hoarding things,274,15
going over things in mind other than check counting,229,15
anxiety about  being on bridges,10,16
anxiety worries about future events  generalized anxiety signs and symptoms,9,16
anxiety  avoidance of  entering a room,3,16
anxiety worries about competence or performance  generalized anxiety signs and symptoms,9,16
anxiety  avoidance of  interacting with opposite sex,12,16
anxiety  avoidance of  being heard by others while speaking on phone,1,16
anxiety  avoidance of  performance in public,9,16
excessive anxiety and worry  generalized anxiety signs and symptoms,3,16
anxiety  thought disorders psychiatric signs and symptoms,6,16
easily influenced by circumstances,1,16
easily fatigued  generalized anxiety signs and symptoms,3,16
anxiety worries about money  generalized anxiety signs and symptoms,4,16
anxiety worries about past behavior  generalized anxiety signs and symptoms,6,16
anxiety about  being outside the home alone  phobias signs and symptoms,1,16
chronic obstructive chronic bronchitis  copd ,501,17
pancreatitis  acute,756,17
acute life threatening med condition,709,17
chronic physical illness,275,17
ischemia chronic,72,17
pancreatitis  chronic,1258,17
chronic physical illness,1533,17
acute physical illness,1083,17
pancreatitis  acute,369,17
pancreatitis  chronic,119,17
preference for playmates of the opposite sex,485,18
believes in iop potential,8423,19
suicide of family member,2258,19
family believes in iop potential,3804,19
suicide attempt  by hanging,677,19
suicide of spouse,72,19
suicide attempt  by cutting oneself,1471,19
suicide attempt  by gunshot,163,19
repeated substance use,32841,19
attempt to cut down substance use,10850,19
suicide of family member,516,19
believes moderate use of substance is possible,19322,19
suicide attempt by cutting oneself,748,19
suicide of friend,420,19
family,2408,19
suicide attempt  other,1175,19
persistent recurrent gambling behavior,94,20
receptive problems  child ,123,20
child or adolescent antisocial behavior,157,20
physically aggressive behavior,131,20
persistent depersonalization,61,20
persistent reluctance or refusal to sleep away from home,112,20
